,rowNum,ID,actrorID,cdateTime,followerCount,statusesCount,tweetType,body,countryregion,Longitude,Latitude,relevant
535,1967187,642895545300729856,6897142,2015-09-13 03:00:17.000,6865,10504,tweet,A truly scary couple of months ahead for us in California as our fire season peaks before the wet season kicks off ValleyFire ButteFire,None,-122.514926,37.708075,1
537,1978712,642897045099974657,818717916,2015-09-13 03:06:14.000,737,48155,tweet,If the winds keep up I bet this fire is bumping Lake Berryessa in the morning ValleyFire,,-124.482003,32.528832,1
543,1992558,642898908545355776,818717916,2015-09-13 03:13:38.000,737,48167,tweet,ValleyFire is now past Guenoc Rd fire is now in Napa County,,-124.482003,32.528832,1
545,1993943,642899090875879424,46902566,2015-09-13 03:14:22.000,561,9484,tweet,If you play with fire you might get burnt WhatDoYouMean justinbieber,None,-117.96731299999999,34.001861,0
547,1997054,642899498616811520,449456410,2015-09-13 03:15:59.000,387,5245,tweet,holy shit the sky is so red from the fire,California,-122.83677,38.515010499999995,1
548,2001838,642900134859173888,1912020001,2015-09-13 03:18:31.000,278,14288,tweet,Bae so fire,None,-117.67291499999999,33.802102000000005,0
549,2002954,642900285514354688,28571049,2015-09-13 03:19:07.000,3892,3171,tweet,Cal Fire says number of structures destroyed in ButteFire has ballooned to 86 homes and 51 outbuildings 65 000 acres burned,California,-121.41687160000001,37.883347,1
550,2004265,642900470768361472,1577116788,2015-09-13 03:19:51.000,382,20067,tweet,Keith ape fire in general idc,England,-122.03275790000002,38.308561,0
551,2007027,642900850680004608,3310100906,2015-09-13 03:21:21.000,82,123,quote,Another lake county fire Friends and family stay safe https t co Cr7LE9BDvg,California,-122.358011,38.243266999999996,1
552,2012660,642901609500901376,1266008275,2015-09-13 03:24:22.000,545,10625,tweet,A little gas never hurt nobody come over for a fire http t co 0rsD3k2QKK,None,-121.6414764,37.889142,0
554,2018143,642902305696694273,2721418468,2015-09-13 03:27:08.000,641,29063,tweet,THERES A FIRE,California,-118.66840400000001,33.704538,0
556,2023549,642903004471885824,770803830,2015-09-13 03:29:55.000,251,26410,quote,Fire https t co YHpvImDUJ5,None,-118.66840400000001,33.704538,0
557,2034255,642904277896163329,176696503,2015-09-13 03:34:59.000,31,108,tweet,Madbum is on fire tonight,California,-122.514926,37.708075,0
558,2035125,642904397786185729,625110332,2015-09-13 03:35:27.000,343,2034,quote,Is Cal fire lying or what There s know way its only gone up 900 acres in 26 hours https t co 2IcIaLxROA,None,-124.482003,32.528832,1
560,2039608,642904944463360000,42557375,2015-09-13 03:37:38.000,1715,2088,tweet,86 homes destroyed by 65 000 acre Butte Fire containment at 15 http t co 3vfr0JJE46 via kcranews,California,-121.07434199999999,37.59485,1
561,2042351,642905281807052801,1616352061,2015-09-13 03:38:58.000,133,939,tweet,INKGANG925 it s on fire here I came to pole dance This was just a bonus,Massachusetts,-115.384091,36.129459000000004,0
562,2042435,642905293186174976,3192115990,2015-09-13 03:39:01.000,199,1389,quote,No question that DJABSOLUT is on fire right now makin ill beats and working w the greats Love it https t co s6uLcCjdFT,California,-118.39590420000002,34.075963,0
563,2044559,642905559470092289,14827780,2015-09-13 03:40:04.000,207,3022,tweet,So zen slowmo fire in the fireplace at FawnSkinInn in BigBear bigbearlake Inn At Fawnskin https t co xo0fbrZn2B,California,-124.482003,32.528832,1
566,2064490,642908159875530752,818717916,2015-09-13 03:50:24.000,742,48197,tweet,I m thinking about continuing reports till morning This fire is just insane,,-124.482003,32.528832,1
567,2068090,642908665763115008,713298960,2015-09-13 03:52:25.000,759,6176,tweet,Blow a kiss fire a gun,None,-115.316075,35.96075310000001,0
568,2068342,642908700965924864,559719911,2015-09-13 03:52:33.000,214,1806,tweet,goodlaura Oh now I see where you live Awful fire Hope you re ok,None,-121.26026399999999,38.621443,1
570,2075888,642909794286723072,132328335,2015-09-13 03:56:54.000,315,34679,tweet,This is what I get for driving home with my windows down during a wild fire http t co VsR134AGnF,None,-121.803252,38.526843,1
576,2101028,642913348632227842,25965440,2015-09-13 04:11:01.000,1192,62858,tweet,KREAYSHAWN You a paper chaser you got your block on fire,California,-118.66840400000001,33.704538,0
578,2103501,642913683245412352,269627505,2015-09-13 04:12:21.000,702,27135,tweet,if my neighbors r gonna party make sure that music is fire otherwise stop bumping it,None,-118.123005,33.950457,0
579,2108761,642914423481307137,2473243866,2015-09-13 04:15:17.000,54,120,tweet,LakeCounty Valley Fire http t co AfT8n5EMku,California,-122.358011,38.243266999999996,0
580,2109004,642914458835152898,387170537,2015-09-13 04:15:26.000,3929,11969,tweet,Fighting fire with fire at the ButteFire http t co UTeUaHAkMB,None,-124.482003,32.528832,1
581,2109665,642914556474322944,2803915428,2015-09-13 04:15:49.000,31,205,tweet,Praying for everyone who lost their homes in the fire hope it doesn t take anymore home and everyone stays safe,None,-122.49076799999999,38.520752,1
585,2114865,642915305153388545,2465328685,2015-09-13 04:18:48.000,179,457,tweet,mom woah look at that fire dylan I did a pretty good job starting it,None,-122.03275790000002,38.308561,0
586,2118804,642915864476385280,792787135,2015-09-13 04:21:01.000,363,10090,tweet,I hope this fire stops burning away this county and taking families homes miracleplease,None,-120.879833,38.091186,1
587,2119263,642915924681424896,3177487796,2015-09-13 04:21:15.000,593,491,tweet,YO NANCYAMOREXXX NEW SONG IS STRAIGHT FIRE THAT BEAT IS UNREAL,None,-124.482003,32.528832,0
588,2121403,642916219847208960,519719251,2015-09-13 04:22:26.000,1670,596,tweet,Road closures on Hwy 29 at Tubbs Lane and Butts Canyon Rd at Etna Springs to Northbound traffic due to Valley Fire http t co ytA0RGa7fb,California,-122.358011,38.243266999999996,1
589,2127496,642917095215247361,2473243866,2015-09-13 04:25:54.000,54,122,tweet,Valley Fire in LakeCounty freeways closing KTVU http t co dqsAWYYNtW,California,-122.358011,38.243266999999996,1
590,2128323,642917209258364928,818717916,2015-09-13 04:26:22.000,747,48232,tweet,Fire is South of Hwy 29 Missed the road tho Anyone catch it ValleyFire,,-124.482003,32.528832,1
591,2137281,642918473467727872,2559843820,2015-09-13 04:31:23.000,175,4837,tweet,Have you ever put your hand over fire to see how much you could tolerate,None,-117.523867,33.85216,0
593,2139449,642918785855287296,3192115990,2015-09-13 04:32:38.000,199,1395,quote,And another one Didn t know Abso was cooking with so much fire these days these records are beautiful throwbacks https t co lpJxz4xKWq,California,-118.39590420000002,34.075963,0
594,2142826,642919273736699910,379547292,2015-09-13 04:34:34.000,288,15375,tweet,Pac12Networks UCLAFootball if 15 23 is on fire Cody is nuclear,California,-118.250227,33.732905,0
595,2146793,642919857013452800,2826804749,2015-09-13 04:36:53.000,98,32,tweet,Fire http t co IM0Pevs16W,None,-122.03531100000001,37.193164,0
596,2163313,642922416377737217,2185393640,2015-09-13 04:47:03.000,230,648,tweet,Fair Day on Fire http t co pG3XZM40vn http t co DSYS1BM9x1,Idaho,-117.24302800000001,41.987982,0
597,2172698,642923872942034945,384971091,2015-09-13 04:52:50.000,233,6366,tweet,Send prayers to the Lake County Fire Fighters Things are getting out of control,California,-122.514926,37.708075,1
601,2180522,642925208467214336,323393048,2015-09-13 04:58:09.000,1265,4842,tweet,ValleyFire in Lake Co 10k acres 4 ff in copter 104 2nd degree burns fire burning toward Middletown and Hidden Valley Lake,California,-124.482003,32.528832,1
602,2188507,642926556050927616,14544813,2015-09-13 05:03:30.000,1182,27347,tweet,Xfinity headline Calif Butte Fire Explodes Butt explosions are horrible pray for the victims,California,-122.514926,37.708075,1
603,2189537,642926737500667904,110022430,2015-09-13 05:04:13.000,79,3033,tweet,Scanner traffic is extremely quiet tonight thegraduate wildland fire is resolved WOWScanner15,California,-120.71213,35.235477,0
606,2190660,642926933064286213,2988746165,2015-09-13 05:05:00.000,321,4350,tweet,GamDemo prolly fire works _ ツ _,California,-122.04888400000002,38.22999,0
608,2194319,642927571370311680,24773103,2015-09-13 05:07:32.000,198,2089,tweet,Lake County Valley Fire from Nice CA abc7newsBayArea http t co 4vXm8ZJQrD,None,-122.88553700000001,39.115552,1
609,2194701,642927637334102016,7919632,2015-09-13 05:07:48.000,511,8787,tweet,So much fire in California,None,-122.34266000000001,37.699279,1
612,2198737,642928365389791232,3247578962,2015-09-13 05:10:41.000,62,1223,tweet,That rap was fire should become a rapper instead jacobonyounow,California,-122.005597,37.322943,0
613,2203218,642929203378151424,42554471,2015-09-13 05:14:01.000,2711,19446,quote,Action shot from tonight s goodbye Mandy22Baker party Lauren loves a good fire https t co 5Yr8Ezh8Up,Nevada,-115.158331,36.155943,0
614,2204695,642929462540038144,16744688,2015-09-13 05:15:03.000,244,1963,tweet,Davis Park Church of Christ is responding to the Butte Fire Water and Supplies needed Leaving at 1 00 pm from 901 W Rumble,None,-121.07434199999999,37.59485,1
619,2209021,642930235600560128,952485078,2015-09-13 05:18:07.000,234,6359,tweet,The homie Trent boutta drop some fire maan CARSON,California,-118.66840400000001,33.704538,0
622,2212332,642930847935393792,3191537257,2015-09-13 05:20:33.000,66,2149,tweet,LuhgytOrDie I added you Lol I saw your snap of the fire the other day,California,-121.6414764,37.889142,0
623,2219577,642932245230174208,723426331,2015-09-13 05:26:07.000,7874,134713,tweet,RobertRG1 you really want me on fire huh,None,-118.66840400000001,33.704538,0
624,2221940,642932683157274624,44301436,2015-09-13 05:27:51.000,176,3707,tweet,Chinook flying into Placerville from the Butte Fire ButteFire Swingfortyler lionspark SlowPitch http t co y0qrwQN3x1,California,-124.482003,32.528832,1
626,2229008,642933986138849280,1606472113,2015-09-13 05:33:02.000,738,209308,tweet,MED MEDICAL at 2500 BLOCK OF SE 302ND AVE MULTNOMAH COUNTY OR Gresham Fire RG15000012966 21 35 pdx911,Oregon,-124.70354099999999,41.991795,0
632,2242206,642936514737930240,1253053693,2015-09-13 05:43:04.000,963,78190,tweet,Aluxay10 gotta watch St Elmo s Fire pretty in pink 16 candles risky business taxi driver almost famous overboard Forrest Gump now 2,None,-122.32888999999999,37.497748,0
633,2243272,642936729494667264,371427945,2015-09-13 05:43:56.000,1467,4717,tweet,Middletown was where evacuees escaped to for Wragg amp Rocky fires earlier this summer Now it s hit by Valley Fire http t co MAURjuQYaj,California,-121.576613,38.43792,1
634,2243444,642936761635618816,1045700532,2015-09-13 05:44:03.000,23,936,tweet,smarcuswilliams better then norain and fires pray for the fire fighters and cool weather CCalifornia Calfire,None,-122.16081399999999,37.592632,1
635,2243636,642936803524145152,2983540975,2015-09-13 05:44:13.000,175,282,tweet,That s why my mixtapes so fire http t co 9614G0Dq66,None,-120.286276,37.973496999999995,0
637,2249420,642937991829151744,492552879,2015-09-13 05:48:57.000,5397,17565,tweet,Why do I have through the fire and flames stuck in my head when I haven t even heard that song since like 6th grade,None,-117.5243291,34.033432,0
639,2252604,642938657704292352,15667702,2015-09-13 05:51:35.000,342,1874,tweet,macsmith413 when my parents left there was fire on summit rd amp 175 Multiple houses on fire PineGrove reportedly gone cobb ValleyFire,California,-121.26026399999999,38.621443,1
640,2252625,642938662456393728,778001,2015-09-13 05:51:37.000,1302,18152,tweet,patrickc I m really worried what would happen if a fire started near our ranch This fire season is unlike anything I ve seen before,California,-122.514926,37.708075,1
641,2255690,642939307980775424,437812709,2015-09-13 05:54:10.000,3207,1033,tweet,So sad to hear about the fire threatening Harbin Hot Springs I was there few days ago I had an amazing time Hope everybody stay safe there,California,-122.514926,37.708075,1
643,2256453,642939472472989697,395637033,2015-09-13 05:54:50.000,232062,23513,tweet,San Diego is on fire http t co fYSkkseiLK,New York,-117.28253799999999,32.53962,0
646,2266246,642941651095150592,2384297126,2015-09-13 06:03:29.000,700,4724,tweet,When I listen to a fire song I become obsessed with it for like weeks,None,-118.0075327,34.054801,0
648,2274110,642943491908112385,169991140,2015-09-13 06:10:48.000,569,21196,tweet,watching the news on the fire going on so scary sending my prayers to everyone who has been affected by the fire stay safe everyone,None,-122.491724,38.48506,1
652,2278022,642944412452978688,2287880653,2015-09-13 06:14:27.000,856,8607,tweet,my aunt is so drunk that she just lit the wrong end of her cigarette and she has already caught her dress on fire,Oregon,-124.70354099999999,41.991795,0
655,2281662,642945287929991169,3278134262,2015-09-13 06:17:56.000,147,2089,tweet,Ciara hot I need her in my life Ole fire lap dance giving ass come to daddy,,-118.1513925,33.865643,0
657,2283499,642945720929005568,2608368148,2015-09-13 06:19:39.000,488,4964,tweet,my throat feels like I drank bleach and my noggin is on fire,Nevada,-115.212251,36.184836,0
660,2287260,642946681445576704,36164779,2015-09-13 06:23:28.000,20513,1988,tweet,MitchMashMax Middletown Christian a small school with grades K 12 has been destroyed by fire according to KGO TV ABC 7 News,California,-122.47359499999999,37.6009088,1
661,2287866,642946836781600768,2572252944,2015-09-13 06:24:05.000,167,1337,tweet,baby we were born with fire and gold in our eyes http t co O5n1wFjKc1,None,-118.82975290000002,34.222878,0
663,2291174,642947659376934912,371427945,2015-09-13 06:27:22.000,1474,4725,tweet,NewsAndStocks I really feel for all the families in Lake county and the fire fighters on the line This is exhausting,California,-121.576613,38.43792,1
665,2292544,642948014726778880,371427945,2015-09-13 06:28:46.000,1474,4726,tweet,Kyle_McLorgBASG We ve learned is was a Middletown Christian School that was damaged by the fire,California,-121.584282,38.516197,1
666,2294372,642948473147523072,231680952,2015-09-13 06:30:36.000,162,6684,tweet,Something ming happened tonight happened at Applebee s today As most of you know the Hume Lake Fire https t co LQoi2Uu0gA,California,-119.73226299999999,36.782957,0
667,2297702,642949358783062016,1615923300,2015-09-13 06:34:07.000,672,23239,tweet,why would you chose those emojis A penguin on fire tf is that shit Lmao,None,-119.93256799999999,36.648905,0
668,2297845,642949398284996609,156897546,2015-09-13 06:34:16.000,269,5720,tweet,I could see the fire from the damn campsite this last weekend We gotta put that shit out soon californiaproblems,California,-121.41687160000001,37.883347,1
669,2297939,642949424080031744,88956948,2015-09-13 06:34:22.000,883,27837,tweet,Vehicle on fire in NOfLivermore on Vasco Rd NB after Los Vaqueros Reservoir BayArea Traffic http t co pmlOhZdgyh,California,-124.482003,32.528832,1
671,2300967,642950279604731904,83192126,2015-09-13 06:37:46.000,233,2349,tweet,Im sorry i drank some fire ball old guy on phone,None,-115.18090500000001,36.0710474,0
673,2301703,642950487558369280,2753846714,2015-09-13 06:38:36.000,72,1013,tweet,Now theirs a huge fire in Napa California is literally on fire this is so sad prayforthefamilies,None,-122.069956,37.454962,1
675,2304220,642951162270908416,830424060,2015-09-13 06:41:17.000,281,14630,tweet,That s shits fire,California,-119.305034,36.530124,0
677,2308102,642952267784519682,371427945,2015-09-13 06:45:40.000,1478,4729,tweet,Devastating image from Middletown as Valley Fire rampaged through Lake County https t co A4ZCN2eS4M,California,-121.862342,38.421895,1
678,2309814,642952743485706241,2552805470,2015-09-13 06:47:34.000,339,13987,tweet,FIRE AF https t co imuUQw8Yz0,California,-118.0632981,33.791963,0
679,2311879,642953340649734145,79942236,2015-09-13 06:49:56.000,85,4484,tweet,GadiNBCLA NBCLA TODAYshow BeSafe Gadi Is the fire behavior wind driven ValleyFire Middletown,California,-118.66840400000001,33.704538,1
680,2313914,642953930473803776,996699702,2015-09-13 06:52:17.000,283,22895,tweet,Macklemore s new song is fire,None,-120.482386,34.875868,0
683,2315944,642954535510474752,371427945,2015-09-13 06:54:41.000,1478,4731,tweet,CalFire is dispatching fire teams from across Northern California to get a handle on Lake County s Valley Fire http t co xXQQY8lW1R,California,-122.03275790000002,38.308561,1
684,2316301,642954639902543872,1864824978,2015-09-13 06:55:06.000,666,6534,tweet,_stephik SHES THE TEAR IN MY HEART IM ON FIRE,California,-121.03748600000002,37.303666,0
685,2316336,642954650967109633,423114678,2015-09-13 06:55:08.000,641,49449,tweet,I couldn t help but scream and cry knowing all their animals just died in a house fire,None,-118.08261499999999,33.6289907,1
687,2319046,642955505980211200,3257401357,2015-09-13 06:58:32.000,240,4470,tweet,There s a fire,None,-122.358011,38.243266999999996,1
688,2319405,642955611202695173,36771787,2015-09-13 06:58:57.000,8195,13304,tweet,Worst fire I ve ever seen ValleyFire tearing through a subdivision off Pope Valley Rd http t co JdrtLorLKA,None,-124.482003,32.528832,1
689,2321059,642956098945708032,138685167,2015-09-13 07:00:54.000,884,13980,tweet,We were near the end of The Visit then the fire alarm goes off BAM Urg,California,-121.4878638,38.379179,0
691,2325820,642957589441974273,138685167,2015-09-13 07:06:49.000,884,13981,tweet,PEOPLE The fire alarm just went off and YOU STILL TAKE SELFIES Gosh,California,-121.576613,38.43792,1
692,2326599,642957856988225536,423114678,2015-09-13 07:07:53.000,641,49451,tweet,If anyone wants to watch the most tragic house fire you can watch it on my story Kay_boo,None,-118.08261499999999,33.6289907,1
693,2328683,642958514374115328,278218031,2015-09-13 07:10:30.000,270,6568,tweet,My car system is too fire tho Louder than a club and shit,None,-118.14408200000001,33.974263,0
694,2330614,642959173441851392,24496133,2015-09-13 07:13:07.000,81,1559,tweet,Common baby light my fire TheDoors,Nevada,-115.384091,36.129459000000004,0
695,2331994,642959635574493184,481703659,2015-09-13 07:14:57.000,338,16351,tweet,Thanks to this massive drought California is having one of its worst fire seasons ever with probably the other worst being 2008,None,-121.576613,38.43792,1
696,2332168,642959697738248192,202054768,2015-09-13 07:15:12.000,244,592,tweet,These two were on fire tonight with herbiehancock wow JeffCoffinMusic davematthewsbnd DMB2sets http t co 9H4nZaWTbx,California,-117.954201,33.625178999999996,1
697,2332314,642959745846935552,19582847,2015-09-13 07:15:23.000,276,5871,tweet,newtman I am In shock How can a whole town be gone fire,None,-119.321696,34.23444,1
698,2333786,642960244159569920,2275395307,2015-09-13 07:17:22.000,151,861,tweet,Adam s party was straight fire,California,-117.0843043,32.927402,0
699,2336532,642961226843099136,55695175,2015-09-13 07:21:16.000,6249,15096,tweet,Middleton CA almost completely gone Fire station standing fire team making stand at High School put out fire at main building ValleyFire,Hawaii,-122.604129,38.568581,1
700,2339357,642962228572893184,510967083,2015-09-13 07:25:15.000,421,14889,tweet,While we get to sleep in our beds tonight let s pray the fire fighters and people stay safe out there,None,-122.358011,38.243266999999996,1
701,2339553,642962301029474304,2553422935,2015-09-13 07:25:32.000,1024,101075,tweet,YG low key talk like he never lost his baby teeth but his music all fire so it s easily overlookable,California,-122.34266000000001,37.699279,0
703,2342275,642963340164120576,1118463631,2015-09-13 07:29:40.000,230,3145,quote,This shit is fire https t co 0LFFhJYVvF,None,-122.16343799999999,38.15792800000001,0
708,2351182,642967003683119108,202054768,2015-09-13 07:44:14.000,244,595,tweet,On fire tonight YamahaCorpUS needs to get them new horns because I am sure they melted DMB2sets JeffCoffinMusic http t co Ztpq9Fe0jH,California,-117.954201,33.625178999999996,0
709,2353342,642967949989404676,253863877,2015-09-13 07:47:59.000,20,340,tweet,Fire devastates Cobb and Middleton CA 1000s are homeless FB Group for supporting folks affected by ValleyFire https t co AOfpBWn07V,California,-122.190523,37.362823999999996,1
710,2354698,642968501318062080,1398743731,2015-09-13 07:50:11.000,288,8719,tweet,Tweets fire lyrics,None,-124.482003,32.528832,0
711,2360501,642971103820779520,3293470634,2015-09-13 08:00:31.000,95,1160,tweet,You know what s lit Fire,None,-121.382934,38.5588583,0
712,2361782,642971698342432769,1088621600,2015-09-13 08:02:53.000,979,36375,tweet,if a fire reached my town fuck everything else my pets come first,None,-122.16843899999999,39.130782,1
713,2362724,642972152514285568,1579971234,2015-09-13 08:04:41.000,333,18752,tweet,Don t hit me with that what are thooose bullshit All my shoes fire enough to keep the world warm I don t play that shit,None,-118.66840400000001,33.704538,0
714,2363277,642972420131807232,371427945,2015-09-13 08:05:45.000,1480,4737,tweet,Explosions from propane tanks homes on fire and Main Street in Middletown in flames It s a terrible night in Lake County,California,-124.482003,32.528832,1
715,2364656,642973104692555776,3361766679,2015-09-13 08:08:28.000,86,690,tweet,There s seriously fire ashes on my car My uncle literally just washed it today,None,-121.300453,37.768375899999995,1
716,2365259,642973438101946368,2775891980,2015-09-13 08:09:48.000,71,430,tweet,I just say a ventura county fire truck and almost cried I miss home yo,None,-121.41687160000001,37.883347,1
717,2368412,642975036232458240,2664101568,2015-09-13 08:16:09.000,66,1566,tweet,Cypress is on fire lol,None,-124.11081399999999,40.840387,0
718,2369764,642975775646322688,1575920516,2015-09-13 08:19:05.000,771,69872,tweet,Lmaao yall start looking fire past 12 http t co WSn28sAADy,None,-118.378887,33.9253169,0
719,2370215,642976020023275520,566080857,2015-09-13 08:20:03.000,317,10616,tweet,Fire,None,-124.482003,32.528832,0
720,2371362,642976651542827008,423078868,2015-09-13 08:22:34.000,279,6792,tweet,there s nothing more terrifying than waking up to the fire alarm twice,None,-124.11081399999999,40.840387,1
728,2392123,642991187461181440,3116022796,2015-09-13 09:20:19.000,44,974,tweet,This is the third huge fire to hit this area this year madisonlawrence the drought affects more than drinking water and crops,None,-124.482003,32.528832,1
729,2392827,642991838710730752,352817748,2015-09-13 09:22:55.000,133,4224,tweet,SisterFranzia that s super lucky dude The fire tho,None,-119.73226299999999,36.782957,0
731,2400091,642998923620061186,446614939,2015-09-13 09:51:04.000,653,13796,tweet,SwAg_5 2 Sac Fire,California,-121.576613,38.43792,0
732,2400224,642999085952200705,15960033,2015-09-13 09:51:43.000,1985,97973,tweet,we are fucking fire tho http t co JzTfKVPXqU,California,-122.03531100000001,37.193164,0
739,2411859,643012033412116480,3351874099,2015-09-13 10:43:10.000,47,354,tweet,if i dyed my hair red i wouldnt dye my eyebrows red too thats just too much fire man lol,California,-122.072718,37.655584999999995,0
741,2413717,643014255243988992,526951955,2015-09-13 10:51:59.000,2407,55665,tweet,lecraaam She s fire dude,None,-117.117116,32.582128000000004,0
744,2419606,643020926682959872,25460186,2015-09-13 11:18:30.000,121,1851,tweet,Nothing says good morning like the hotel fire alarm at 4 AM happiestplaceonearth falsealarm,None,-118.017789,33.788913,1
745,2421126,643022527334248448,394434772,2015-09-13 11:24:51.000,134,1845,tweet,You say LOVE is a fire I say LOVE is a flower bud then bloom Our love is wilting,California,-116.21654860000001,33.653032,0
746,2425575,643026834678919168,23655317,2015-09-13 11:41:58.000,271,9412,tweet,Smells like fire in Vacaville,California,-122.03275790000002,38.308561,1
748,2432800,643032692645167104,38135812,2015-09-13 12:05:15.000,505,888,tweet,Devastion from the Butte Fire yet St Francis remains blackened but surviving I pray the Creator brings RAIN http t co gattxSdA21,California,-121.576613,38.43792,1
750,2451003,643043854157897728,3103213542,2015-09-13 12:49:36.000,3843,66639,tweet,GinsburgJobs Reuters Middletown the newest fire has little water left in hydrants,California,-121.38500900000001,38.716060999999996,1
752,2456001,643046351836549120,2223374257,2015-09-13 12:59:32.000,629,26399,tweet,lil_kiwii2 cuz of the fire,California,-122.358011,38.243266999999996,0
753,2456867,643046727474278400,635017703,2015-09-13 13:01:01.000,89,134,tweet,Visiting the troops on the Butte Fire,California,-120.52123309435444,38.04835315633347,1
754,2457170,643046856851722240,425476514,2015-09-13 13:01:32.000,696,4429,tweet,Via Daniel Berlant of Cal Fire The ValleyFire in LakeCounty is now estimated to have burned 40 000 acres CALFIRE_PIO,California,-122.358011,38.243266999999996,1
756,2460283,643048180121075716,188356865,2015-09-13 13:06:48.000,15,1245,tweet,AronBender SunWithShannon KFIAM640 shannonfarren finally a reason to fire up the radio on Sunday am Yo Bendah,None,-117.666227,33.386645,0
757,2471126,643052515768950784,3103213542,2015-09-13 13:24:01.000,3843,66686,tweet,TuxcedoCat billmckibben Their fire hydrants are almost out of water,California,-121.38500900000001,38.716060999999996,1
762,2501351,643062033034776576,174342468,2015-09-13 14:01:50.000,3483,1820,quote,In less than 24 hours this fire has reached 40 000 acres fire spread 0 containment ValleyFire https t co NggJwzq4zW,California,-121.4875756,38.361325,1
763,2512500,643064940891246592,551384622,2015-09-13 14:13:24.000,34,36,tweet,mic654 Yes Reports from friends in the area that it was raining but it is rain created from the fire not enough to help ValleyFire,None,-121.919174,39.676071,1
765,2517939,643066244808093696,818717916,2015-09-13 14:18:35.000,765,48317,tweet,Once they release a map for the fire It will be so much easier to know what s affected and not,,-124.482003,32.528832,1
770,2555886,643074695705694214,2739118944,2015-09-13 14:52:09.000,193,2661,tweet,It appears my moms boyfriend and kids have lost their house and their schools it s so heartbreaking to watch this fire just destroy,None,-122.420497,37.895308,1
771,2563324,643076210210140161,14402724,2015-09-13 14:58:10.000,526,786,quote,Follow Press Democrat photographer Kent Porter for stunning images of latest Lake County fire https t co 5o46x3lc3C,California,-122.77923899999999,38.396778999999995,1
772,2564428,643076426934038528,1619895230,2015-09-13 14:59:02.000,219,3445,tweet,KBCWtv fans GoodDaySac STARTS NOW w TVcody TVloriwallace roquitheus w Complete Fire Coverage amp more http t co 6PxZI9P2b5,California,-124.482003,32.528832,0
773,2581864,643079839646359553,2367822530,2015-09-13 15:12:36.000,218,1304,quote,Again this fire season is horrific ValleyFire https t co CLPs0gLaPQ,California,-122.69951699999999,38.921813,1
774,2585371,643080523791777792,168720269,2015-09-13 15:15:19.000,2400,99506,tweet,California Gov Jerry Brown declares state of emergency in Lake Napa counties due to Valley Fire GovPressOffice http t co 7EiYrgsSIx,Nevada,-115.15814270000001,35.917792999999996,1
775,2589100,643081236383076352,89086638,2015-09-13 15:18:09.000,756,97630,quote,Shits actually fire lol https t co ygaAOQ2gT1,,-115.20925349999999,35.98478400000001,0
776,2590842,643081563782184960,2284380589,2015-09-13 15:19:27.000,21,954,tweet,jillwelch99 My bro who is a fire fighter just msg me and said he has info from good sources our place in W P is ok Hoping its true,California,-124.482003,32.528832,1
777,2592351,643081838492262400,2284380589,2015-09-13 15:20:32.000,21,955,tweet,jillwelch99 I think the fire may have arced around W P and crossed 175 just South of us Just hoping for the best Don t lose hope Jill,California,-124.482003,32.528832,1
778,2600854,643083443652288513,2153908305,2015-09-13 15:26:55.000,1299,5021,tweet,I love amp miss you all Celebrate Nepthys AllSoulsDay Egypt fire rebirth spirts afterlife hopefulness hope http t co Hsy6IanOrj,Nevada,-115.384091,36.129459000000004,0
780,2605081,643084232433135616,6300372,2015-09-13 15:30:03.000,1122,28740,tweet,Just took the addresses on the Valley Fire Incident http t co gXARYn2hi2 page and put them into Google Maps http t co gXARYn2hi2,California,-122.6823831,38.205307,1
782,2614859,643086024835371008,3224442140,2015-09-13 15:37:10.000,1519,4625,tweet,I GO TO A GREAT FIRE IN THE CHURCH TO SEE IF THE PRESIANCE OF HE LORD IS WITHIN IT IF IT ISNT I WILL PROCLAME IT TO SAVE IT GOOD DAY,California,-121.340149,38.839106,0
783,2616799,643086385021214721,917417316,2015-09-13 15:38:36.000,1163,11123,tweet,clahzy trendinaliaUS Probably hmmm 50 to 60 calls from locals in the 24 680 convinced there is fire in our area JPop We re watching,None,-122.167768,37.8500364,1
784,2620587,643087077232541697,2284380589,2015-09-13 15:41:21.000,22,958,tweet,bacon_98_ Not sure Early reports indicated that Golf Rd and areas behind golf course were seriously threatened by fire Stay positive,California,-124.482003,32.528832,1
786,2630745,643088917042868229,28571049,2015-09-13 15:48:40.000,3889,3173,tweet,Like a horror movie 65 000 acres 137 structures and counting destroyed in epic fire http t co hgVH1RF1lB ButteFire California,California,-121.37197900000001,38.4525848,1
787,2630830,643088930259075072,425476514,2015-09-13 15:48:43.000,697,4435,tweet,CALFIRE_PIO I m following the Valley Fire for the NapaRegister can you email your cell to me at hyune napanews com Thank you,California,-122.358011,38.243266999999996,1
789,2632926,643089294060482560,2445243770,2015-09-13 15:50:10.000,30,4788,tweet,I guess California is on fire again Or possibly is still on fire since the last time I was here,None,-121.576613,38.43792,1
790,2638323,643090248868560896,226534058,2015-09-13 15:53:58.000,7289,8651,tweet,davidskillequal I m hearing the lads on fire So happy for him,Nevada,-115.316075,35.96075310000001,0
792,2642810,643091018141728768,213948646,2015-09-13 15:57:01.000,103,1696,tweet,CALFIRE_PIO Gm sir My mom lives in Hidden Valley and there is no news about if the fire has moved into Hidden Valley nonewsgoodnews ty,California,-122.6823831,38.205307,1
